date,strategy_index,spy_index
2026-06-11,100.0000,100.0000
2026-06-12,100.4620,100.5408
2026-06-15,104.0244,102.3138
2026-06-16,102.7389,101.7038
2026-06-17,101.4010,100.4337
2026-06-18,101.4010,101.4780
2026-06-22,101.4010,101.1586
2026-06-23,99.4034,99.6896
2026-06-24,98.5540,99.6434
2026-06-25,99.1420,99.7874
2026-06-26,98.9180,99.0658
2026-06-29,99.5994,100.6979
2026-06-30,100.8222,101.4820
2026-07-01,100.6169,101.3448
2026-07-02,99.8701,101.2116
2026-07-07,99.4687,101.6098
2026-07-08,99.6181,101.2959
2026-07-09,100.4302,102.1534
2026-07-10,100.6449,102.5937
2026-07-13,99.6648,101.8082
2026-07-14,100.2808,102.1697
2026-07-15,100.0848,102.5746
2026-07-16,99.0674,102.0188
2026-07-17,98.6940,101.0091
2026-07-20,98.4886,100.8460
2026-07-21,99.7394,101.6927
